,NEWCollabToolsWorkedWith,Confluence,Jira,Slack,Microsoft Azure,Trello,Github,Gitlab,"Google Suite (Docs, Meet, etc)",Microsoft Teams,Stack Overflow for Teams,Facebook Workplace
150,Github;Gitlab,0,0,0,0,0,1,1,0,0,0,0
151,Confluence;Jira;Gitlab;Slack,1,1,1,0,0,0,1,0,0,0,0
152,"Jira;Github;Slack;Google Suite (Docs, Meet, etc)",0,1,1,0,0,1,0,1,0,0,0
153,"Confluence;Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",1,1,1,0,1,1,1,1,0,0,0
154,Github;Slack,0,0,1,0,0,1,0,0,0,0,0
155,"Jira;Microsoft Teams;Google Suite (Docs, Meet, etc)",0,1,0,0,0,0,0,1,1,0,0
156,"Jira;Github;Gitlab;Slack;Microsoft Azure;Google Suite (Docs, Meet, etc)",0,1,1,1,0,1,1,1,0,0,0
157,Github;Gitlab;Microsoft Teams,0,0,0,0,0,1,1,0,1,0,0
158,Confluence;Jira;Github;Gitlab;Slack,1,1,1,0,0,1,1,0,0,0,0
159,"Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",0,1,1,0,0,1,1,1,0,0,0
160,"Confluence;Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",1,1,1,0,1,1,1,1,0,0,0
161,"Jira;Github;Slack;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",0,1,1,1,1,1,0,1,0,0,0
162,"Github;Trello;Google Suite (Docs, Meet, etc)",0,0,0,0,1,1,0,1,0,0,0
163,Confluence;Jira;Github;Gitlab;Trello,1,1,0,0,1,1,1,0,0,0,0
164,Jira;Github;Slack,0,1,1,0,0,1,0,0,0,0,0
165,Jira;Github;Gitlab;Microsoft Teams,0,1,0,0,0,1,1,0,1,0,0
166,"Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",0,1,1,0,1,1,1,1,0,0,0
167,Jira,0,1,0,0,0,0,0,0,0,0,0
168,Github;Gitlab;Facebook Workplace,0,0,0,0,0,1,1,0,0,0,1
169,Github;Gitlab,0,0,0,0,0,1,1,0,0,0,0
170,"Google Suite (Docs, Meet, etc)",0,0,0,0,0,0,0,1,0,0,0
171,Github;Gitlab,0,0,0,0,0,1,1,0,0,0,0
172,"Confluence;Jira;Github;Gitlab;Google Suite (Docs, Meet, etc)",1,1,0,0,0,1,1,1,0,0,0
173,Github;Gitlab;Slack;Microsoft Teams,0,0,1,0,0,1,1,0,1,0,0
174,"Github;Google Suite (Docs, Meet, etc)",0,0,0,0,0,1,0,1,0,0,0
175,Github;Slack,0,0,1,0,0,1,0,0,0,0,0
176,Github;Gitlab;Trello,0,0,0,0,1,1,1,0,0,0,0
177,Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams;Microsoft Azure,1,1,1,1,0,1,1,0,1,0,0
178,Confluence;Jira;Gitlab,1,1,0,0,0,0,1,0,0,0,0
179,Confluence;Jira;Github;Gitlab;Slack,1,1,1,0,0,1,1,0,0,0,0
180,Confluence;Jira;Github;Slack;Trello,1,1,1,0,1,1,0,0,0,0,0
181,Github,0,0,0,0,0,1,0,0,0,0,0
182,"Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,1,1,1,0,0,0
183,Confluence;Jira;Slack;Microsoft Teams,1,1,1,0,0,0,0,0,1,0,0
184,Confluence;Jira;Github;Gitlab;Slack,1,1,1,0,0,1,1,0,0,0,0
185,Confluence;Jira;Github;Microsoft Teams,1,1,0,0,0,1,0,0,1,0,0
186,Confluence;Jira;Github;Slack;Microsoft Teams,1,1,1,0,0,1,0,0,1,0,0
187,Confluence;Jira;Github;Gitlab;Slack;Trello,1,1,1,0,1,1,1,0,0,0,0
188,"Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,1,1,0,0,0
189,Confluence;Jira;Github;Gitlab;Slack;Trello,1,1,1,0,1,1,1,0,0,0,0
190,Github,0,0,0,0,0,1,0,0,0,0,0
191,"Github;Gitlab;Slack;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,1,1,1,1,0,0
192,Github;Gitlab;Slack;Trello,0,0,1,0,1,1,1,0,0,0,0
193,"Github;Gitlab;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",0,0,1,0,0,1,1,1,1,0,0
194,Jira,0,1,0,0,0,0,0,0,0,0,0
195,,0,0,0,0,0,0,0,0,0,0,0
196,"Jira;Github;Gitlab;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",0,1,1,0,0,1,1,1,1,0,0
197,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,0,1,0,0,0
198,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,1,0,1,0,0,0
199,"Confluence;Jira;Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)",1,1,0,0,1,1,1,1,0,0,0
