,MiscTechWorkedWith,.NET,.NET Core,React Native,Ansible,Pandas,Node.js,Unity 3D,TensorFlow,Torch/PyTorch,Teraform,Unreal Engine,Hadoop,Flutter,Cordova,Xamarin,Keras,Chef,Apache Spark,Puppet
168,.NET;Keras;Node.js;Pandas;React Native;TensorFlow;Unity 3D,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
169,.NET;.NET Core,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,.NET;.NET Core,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,.NET;.NET Core;Node.js;Pandas;TensorFlow;Xamarin,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
173,React Native,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,.NET;Node.js;Unity 3D,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
177,.NET;.NET Core;Node.js,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
178,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,.NET Core;Flutter;React Native,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
180,Cordova;Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
181,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,.NET;.NET Core,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Flutter;Node.js;React Native,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
185,Pandas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,.NET;Apache Spark;Hadoop;Pandas,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
187,Unity 3D,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
188,Cordova;Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
189,Keras;Node.js;Pandas;React Native;TensorFlow,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Node.js;Pandas;TensorFlow;Torch/PyTorch,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
193,Teraform,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
194,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
