,WebframeWorkedWith,ASP.NET,ASP.NET Core,Ruby on Rails,Flask,jQuery,Angular,Angular.js,Django,React.js,Vue.js,Gatsby,Spring,Express,Symfony,Laravel,Drupal
245,jQuery;Spring,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
246,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Express;jQuery;Vue.js,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
248,Angular;ASP.NET;ASP.NET Core,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
249,Angular.js;Express;jQuery;React.js,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
250,Angular;Angular.js;jQuery,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
251,Gatsby;Spring,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
252,ASP.NET;ASP.NET Core,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,Angular.js;ASP.NET Core;Spring;Vue.js,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
254,Angular;jQuery;Spring;Symfony,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
255,ASP.NET;ASP.NET Core;Drupal;React.js,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
256,ASP.NET;ASP.NET Core;jQuery,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
257,Angular.js;ASP.NET;ASP.NET Core,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
258,ASP.NET;jQuery,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
259,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,Django,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
261,Angular;ASP.NET;ASP.NET Core;jQuery;Vue.js,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
262,ASP.NET;ASP.NET Core;jQuery,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
263,Flask,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
264,Express;jQuery;React.js,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
265,Angular;React.js,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
266,jQuery;Laravel,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
267,ASP.NET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,Angular;Angular.js;jQuery;Spring,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
269,Flask;jQuery,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
270,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Angular;Express,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
273,Spring;Vue.js,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
274,jQuery,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
275,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Flask,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
277,Angular;Django;Express;React.js;Spring,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0
278,Angular;Angular.js;ASP.NET;ASP.NET Core;jQuery;React.js,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
279,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,React.js,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
281,Django;jQuery,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
282,Angular.js;Express;React.js,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
283,Django;Express;React.js;Vue.js,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
284,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Angular;Angular.js;jQuery;Spring,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
286,Drupal;Laravel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
287,ASP.NET;ASP.NET Core,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,Drupal;jQuery,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
289,Flask,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
290,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Angular;ASP.NET;Express;React.js,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
293,ASP.NET;ASP.NET Core;jQuery,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
294,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,Laravel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
