uid,resp_time,course_id,due,experience,hours,location
u10,2013-04-17 00:38:44,cs50,2.0,3.0,2.0,"43.7050225,-72.28939767"
u10,2013-04-18 04:30:27,cs50,2.0,3.0,4.0,"43.7050225,-72.28939767"
u10,2013-04-18 01:05:16,cs64,2.0,3.0,3.0,"43.7050225,-72.28939767"
u10,2013-04-19 22:03:56,cs50,2.0,3.0,1.0,"43.70665284,-72.28802865"
u10,2013-04-19 22:03:38,cs65,2.0,1.0,6.0,"43.70665284,-72.28802865"
u10,2013-04-22 01:55:54,cs65,1.0,1.0,1.0,"43.70405592,-72.28746765"
u10,2013-04-22 20:17:39,cs65,1.0,3.0,1.0,"43.70324408,-72.28961597"
u10,2013-04-23 22:50:05,bio4,2.0,1.0,1.0,"43.70324408,-72.28961597"
u10,2013-04-23 02:20:15,cs50,2.0,2.0,5.0,"43.70324408,-72.28961597"
u10,2013-04-25 02:01:24,cs50,2.0,1.0,10.0,"43.70324408,-72.28961597"
u10,2013-04-24 01:47:53,cs50,2.0,3.0,6.0,"43.70324408,-72.28961597"
u12,2013-04-03 15:33:22,tuck3,2.0,4.0,3.0,"43.63745411,-72.24846941"
u12,2013-03-27 04:41:22,GH,1.0,1.0,1.0,"43.70618903,-72.28722948"
u12,2013-03-29 06:16:53,tuck 003,2.0,1.0,1.0,"43.63731604,-72.24852742"
u12,2013-03-27 21:38:55,cs50,2.0,3.0,1.0,"43.70640895,-72.2882317"
u12,2013-03-28 00:25:43,cs 89,2.0,3.0,1.0,"43.637604,-72.24834382"
u12,2013-03-29 00:22:36,cs66,2.0,3.0,7.0,"43.68470585,-72.26924658"
u12,2013-03-29 20:26:04,cs89,2.0,3.0,4.0,"43.70977927,-72.28303993"
u12,2013-04-06 03:40:36,cs50,2.0,3.0,7.0,"42.63750503,-71.18233284"
u12,2013-04-17 00:10:41,tuck 3,2.0,4.0,1.0,"43.63747443,-72.24856045"
u14,2013-03-27 23:19:32,COSC 065,2.0,3.0,2.0,"43.70612113,-72.28723353"
u14,2013-03-29 00:00:24,cs 20,2.0,1.0,1.0,"43.70585573,-72.28782999"
