uid,how,location,resp_time
u59,1.0,"43.705461281351745,-72.2910166438669",2013-05-21 09:13:31
u59,1.0,"43.705348586663604,-72.28977226652205",2013-05-22 00:06:36
u59,1.0,Unknown,2013-05-21 18:55:41
u59,3.0,"43.70286435820162,-72.28974292986095",2013-05-22 05:38:54
u59,1.0,"43.705720701254904,-72.29104246012866",2013-05-23 01:31:57
u59,3.0,"43.705720701254904,-72.29104246012866",2013-05-22 18:58:21
u59,3.0,"43.705720701254904,-72.29104246012866",2013-05-23 00:03:40
u59,3.0,Unknown,2013-05-24 06:07:17
u59,1.0,Unknown,2013-05-24 00:12:44
u59,1.0,Unknown,2013-05-23 18:00:28
u59,3.0,"43.70560381561518,-72.29110607877374",2013-05-28 20:07:30
u59,3.0,Unknown,2013-05-24 17:00:45
u59,3.0,Unknown,2013-05-25 00:39:48
u59,1.0,Unknown,2013-05-31 00:01:09
u59,3.0,"40.69961621426046,-73.81507202982903",2013-06-01 13:09:18
u59,3.0,Unknown,2013-05-25 20:37:55
u59,3.0,Unknown,2013-05-28 00:10:43
u59,2.0,"43.705530599690974,-72.29089292697608",2013-05-30 16:11:51
u59,3.0,Unknown,2013-05-28 09:55:21
u59,3.0,"43.705819859169424,-72.29087230749428",2013-05-26 19:17:43
u59,2.0,"43.705510566942394,-72.29118637740612",2013-05-27 08:43:49
u59,3.0,"43.70550733990967,-72.2909749019891",2013-05-27 19:09:02
u59,3.0,Unknown,2013-05-29 02:00:43
u59,1.0,Unknown,2013-05-28 04:00:34
u59,2.0,Unknown,2013-05-29 04:05:20
u59,3.0,Unknown,2013-05-30 00:41:23
u59,1.0,"43.705530599690974,-72.29089292697608",2013-05-30 20:03:23
u59,3.0,Unknown,2013-05-31 09:56:39
u59,1.0,"42.2674427786842,-72.6104214694351",2013-06-01 00:29:42
u59,1.0,"43.70569061022252,-72.2908440604806",2013-05-31 18:08:20
u59,1.0,"41.09053309075534,-73.45103331841528",2013-06-01 04:03:50
u59,1.0,"29.902822449803352,-90.02728418447077",2013-06-03 23:56:44
u59,3.0,"29.902628953568637,-90.02758811227977",2013-06-04 08:40:09
u59,3.0,"29.900103276595473,-90.0295245833695",2013-06-02 06:00:04
u59,1.0,"29.902838333509862,-90.02745215781033",2013-06-03 00:59:49
u59,1.0,"29.90291071124375,-90.02726214006543",2013-06-03 07:57:31
u59,3.0,"29.90302047226578,-90.02727027051151",2013-06-05 07:15:29
u59,1.0,"29.9028183426708,-90.02741821110249",2013-06-05 01:09:34
u59,1.0,"29.902892354875803,-90.02732827328146",2013-06-06 00:05:48
u59,1.0,"29.902878901921213,-90.02735710702837",2013-06-02 21:31:00
u59,1.0,"29.902913058176637,-90.02728560939431",2013-06-05 05:06:11
u59,1.0,"29.90317050833255,-90.02723732963204",2013-06-03 03:47:53
u59,1.0,"29.902872280217707,-90.02744721248746",2013-06-04 23:18:15
u59,1.0,"29.902807823382318,-90.02733036875725",2013-06-04 01:29:39
