uid,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic,location
u16,2013-04-08 21:18:10,2.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,4.0,2.0,
u16,2013-04-10 02:32:47,1.0,3.0,4.0,2.0,2.0,1.0,3.0,4.0,5.0,3.0,
u16,2013-04-11 23:14:26,2.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,5.0,3.0,
u16,2013-04-16 22:05:30,1.0,4.0,4.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,
u16,2013-04-18 02:34:14,1.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,4.0,2.0,
u16,2013-04-29 20:48:21,3.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,"43.70435459,-72.29034651"
u16,2013-04-27 04:34:05,5.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,5.0,3.0,"43.70383449,-72.29122954"
u16,2013-05-02 01:41:16,1.0,4.0,2.0,3.0,3.0,2.0,1.0,3.0,5.0,4.0,"43.70545477,-72.28953205"
u16,2013-05-11 19:25:16,1.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,"43.70317722,-72.28939878"
u16,2013-05-15 00:10:06,4.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,5.0,3.0,"43.70391463,-72.28988644"
u16,2013-05-11 00:58:11,3.0,2.0,4.0,1.0,2.0,3.0,3.0,2.0,4.0,4.0,"43.70745176,-72.28884841"
u16,2013-05-16 00:57:48,3.0,3.0,4.0,4.0,3.0,3.0,1.0,2.0,5.0,3.0,"43.70374249,-72.29050587"
u16,2013-05-08 20:32:17,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,"43.70444528,-72.29050901"
u16,2013-05-13 21:30:53,2.0,3.0,4.0,5.0,3.0,3.0,1.0,1.0,5.0,2.0,"43.70339979,-72.28817654"
u16,2013-05-18 00:18:49,3.0,3.0,3.0,1.0,3.0,3.0,5.0,3.0,2.0,3.0,"43.70695744,-72.28713032"
u16,2013-05-28 05:43:12,4.0,1.0,3.0,5.0,3.0,2.0,1.0,1.0,3.0,1.0,"43.68753666,-72.29250241"
u17,2013-04-09 22:26:25,1.0,1.0,1.0,1.0,5.0,3.0,4.0,5.0,5.0,5.0,
u17,2013-04-13 19:33:09,3.0,5.0,1.0,1.0,1.0,3.0,4.0,5.0,5.0,5.0,
u17,2013-04-16 23:46:44,5.0,5.0,1.0,1.0,5.0,3.0,3.0,5.0,5.0,5.0,
u17,2013-04-26 16:04:01,1.0,5.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,3.0,"43.7060191,-72.28758328"
u17,2013-04-29 04:29:00,3.0,5.0,3.0,4.0,2.0,3.0,4.0,5.0,5.0,5.0,Unknown
u17,2013-05-11 08:13:24,5.0,1.0,1.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,Unknown
u18,2013-04-08 04:10:34,2.0,null,null,3.0,3.0,null,5.0,3.0,3.0,3.0,
u18,2013-04-08 21:19:46,3.0,3,3,3.0,3.0,3,3.0,2.0,3.0,3.0,
u18,2013-04-09 04:08:26,3.0,3,3,3.0,2.0,3,4.0,3.0,3.0,4.0,
u18,2013-04-09 23:53:59,2.0,3,3,3.0,3.0,3,4.0,3.0,4.0,3.0,
u18,2013-04-11 20:05:59,2.0,3,4,3.0,4.0,3,3.0,3.0,4.0,4.0,
u18,2013-04-16 23:48:31,3.0,3,3,3.0,3.0,3,3.0,3.0,3.0,3.0,
u18,2013-04-16 16:50:45,4.0,3,3,3.0,2.0,3,3.0,3.0,2.0,3.0,
u18,2013-05-24 01:19:03,4.0,3,3,2.0,2.0,4,3.0,3.0,3.0,3.0,"43.70406013,-72.29051606"
u19,2013-04-08 08:33:36,1.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0,4.0,3.0,
u19,2013-04-08 21:08:00,3.0,5.0,4.0,2.0,4.0,1.0,2.0,2.0,5.0,3.0,
u19,2013-04-09 03:06:42,1.0,3.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,
u19,2013-04-11 09:01:35,1.0,4.0,4.0,1.0,4.0,1.0,1.0,2.0,5.0,3.0,
u19,2013-04-12 07:15:10,2.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,2.0,4.0,
u19,2013-04-16 03:41:49,3.0,3.0,5.0,1.0,4.0,1.0,4.0,2.0,5.0,4.0,
u19,2013-04-16 09:22:21,1.0,3.0,4.0,1.0,5.0,1.0,1.0,2.0,5.0,2.0,
u19,2013-04-17 08:46:17,2.0,4.0,3.0,1.0,5.0,1.0,3.0,3.0,4.0,3.0,
u19,2013-04-16 20:59:49,2.0,4.0,3.0,3.0,5.0,1.0,5.0,4.0,2.0,3.0,
u19,2013-04-17 20:22:29,2.0,4.0,4.0,1.0,5.0,1.0,1.0,3.0,5.0,3.0,
u19,2013-04-26 07:14:48,2.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,"43.70445438,-72.28941379"
u19,2013-04-26 07:56:51,2.0,5.0,2.0,1.0,4.0,1.0,1.0,4.0,4.0,2.0,"43.70445438,-72.28941379"
u19,2013-05-01 09:28:46,2.0,5.0,3.0,1.0,4.0,2.0,1.0,3.0,5.0,3.0,"43.70101204,-72.28677708"
u19,2013-05-06 07:30:20,2.0,4.0,4.0,1.0,5.0,1.0,5.0,4.0,4.0,5.0,"43.70706627,-72.28596306"
u19,2013-05-16 00:06:41,3.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,"43.70246446,-72.28774351"
u19,2013-05-04 07:23:09,2.0,4.0,3.0,1.0,5.0,1.0,4.0,4.0,4.0,3.0,"43.70726531,-72.28611408"
u19,2013-05-13 19:01:22,3.0,4.0,3.0,1.0,5.0,2.0,2.0,3.0,5.0,2.0,"43.70670191,-72.28568105"
u19,2013-05-04 02:49:15,2.0,4.0,4.0,1.0,5.0,1.0,3.0,3.0,5.0,4.0,"43.70705362,-72.28594706"
u19,2013-05-10 20:28:25,3.0,4.0,4.0,1.0,4.0,2.0,4.0,4.0,4.0,3.0,"43.70680418,-72.28601166"
u19,2013-05-11 05:13:34,4.0,4.0,3.0,1.0,4.0,4.0,3.0,5.0,5.0,2.0,"43.70700456,-72.28598088"
u19,2013-05-12 09:05:15,2.0,4.0,3.0,1.0,4.0,1.0,5.0,4.0,2.0,4.0,"43.70701211,-72.28611727"
u19,2013-05-14 08:15:55,2.0,4.0,3.0,3.0,4.0,1.0,4.0,3.0,3.0,4.0,"43.70650157,-72.28532126"
u19,2013-05-15 01:07:48,2.0,4.0,3.0,1.0,5.0,1.0,1.0,3.0,4.0,2.0,"43.70120165,-72.28667414"
u19,2013-05-05 07:52:06,2.0,4.0,3.0,1.0,5.0,1.0,4.0,4.0,4.0,3.0,"43.70691192,-72.28587513"
u19,2013-05-14 03:16:31,3.0,4.0,4.0,1.0,4.0,2.0,5.0,4.0,2.0,4.0,"43.70670191,-72.28568105"
u19,2013-05-17 00:02:06,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,"43.70125983,-72.28646689"
u19,2013-05-19 21:31:02,2.0,4.0,3.0,1.0,5.0,2.0,3.0,4.0,4.0,2.0,"43.70669977,-72.28545979"
u19,2013-05-18 00:02:47,4.0,4.0,4.0,1.0,4.0,4.0,1.0,5.0,5.0,1.0,"43.70161344,-72.28714129"
u19,2013-05-20 21:11:55,3.0,4.0,3.0,1.0,5.0,2.0,4.0,4.0,5.0,4.0,"43.70708213,-72.2859049"
u19,2013-05-21 09:10:42,3.0,4.0,3.0,1.0,5.0,1.0,2.0,4.0,4.0,3.0,"43.70712264,-72.28701115"
u19,2013-05-23 07:44:15,4.0,3.0,5.0,4.0,2.0,1.0,1.0,3.0,4.0,2.0,"43.70693856,-72.28579217"
u19,2013-05-22 08:09:02,3.0,4.0,4.0,1.0,5.0,1.0,2.0,3.0,4.0,4.0,"43.7040776,-72.29042456"
u19,2013-05-24 08:14:13,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,Unknown
u19,2013-05-25 08:22:17,5.0,2.0,3.0,4.0,3.0,2.0,1.0,4.0,5.0,2.0,"43.70744109,-72.28667853"
u19,2013-05-31 07:10:55,2.0,4.0,4.0,1.0,4.0,2.0,4.0,4.0,2.0,4.0,"43.70696465,-72.28583899"
u19,2013-05-26 09:51:07,3.0,4.0,3.0,2.0,5.0,4.0,3.0,4.0,4.0,4.0,"43.70709334,-72.28524117"
u19,2013-06-01 07:06:17,1.0,4.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,"43.70717259,-72.2867125"
u20,2013-04-08 23:06:46,3.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,
