uid,location,place,productivity,resp_time,noise
u58,"43.70572754,-72.28345198",room,4.0,2013-05-04 00:04:48,1.0
u58,"43.7061181,-72.28339464",room,2.0,2013-05-11 02:02:16,1.0
u58,"43.70647378,-72.28294033",room,3.0,2013-05-13 03:45:21,1.0
u58,"43.70619218,-72.28332721",room,1.0,2013-05-08 21:29:45,4.0
u58,"43.70611027,-72.28315294",room,1.0,2013-05-14 04:04:08,1.0
u58,"43.70616813,-72.2832338",room,1.0,2013-05-10 05:14:49,1.0
u58,"43.70600359,-72.28320712",room,2.0,2013-05-22 19:25:24,1.0
u58,"43.70622433,-72.28334234",room,2.0,2013-05-28 22:17:58,1.0
u58,"43.70622433,-72.28334234",room,2.0,2013-05-28 22:18:11,4.0
u58,"43.70618068,-72.28338039",room,2.0,2013-05-28 07:46:21,1.0
u59,"43.705345443449914,-72.29143733158708",my room,4.0,2013-04-26 04:37:44,2.0
u59,"43.70499914512038,-72.29045648127794",Novack,4.0,2013-04-25 23:55:01,2.0
u59,"43.705437812022865,-72.29115846566856",my dorm floor,2.0,2013-04-26 08:19:07,3.0
u59,"43.706689733080566,-72.28658253327012",sudikoff,4.0,2013-04-29 08:15:42,1.0
u59,"43.70524217840284,-72.28784015402198",my room,3.0,2013-04-29 22:52:39,1.0
u59,"43.70579710230231,-72.29083056561649",Sudikoff 003,4.0,2013-04-30 19:04:10,3.0
u59,"43.703870521858335,-72.28751443326473",Sudikoff,3.0,2013-05-07 16:59:30,1.0
u59,"43.706466439180076,-72.28715711273253",sudikoff,3.0,2013-05-08 12:08:10,1.0
u59,Unknown,airplane,2.0,2013-05-15 06:05:22,3.0
u59,"43.705461281351745,-72.2910166438669",Collis Dining,3.0,2013-05-21 09:15:35,3.0
u59,"43.70286435820162,-72.28974292986095",Rainbow Room,2.0,2013-05-22 05:39:14,1.0
u59,Unknown,Collis,4.0,2013-05-29 02:03:11,3.0
u59,"43.70550733990967,-72.2909749019891",Novack,4.0,2013-05-27 19:09:36,1.0
u59,"43.705819859169424,-72.29087230749428",Russell Sage 212,1.0,2013-05-26 19:17:46,4.0
u59,Unknown,Graduate Apartments,4.0,2013-05-29 20:09:54,1.0
