uid,resp_time,level,location
u08,2013-04-29 20:22:45,2.0,Unknown
u08,2013-05-01 00:13:38,3.0,"43.70327826,-72.28641283"
u08,2013-05-01 09:16:48,1.0,"43.70708811,-72.28767562"
u08,2013-05-01 21:55:45,2.0,"43.70708811,-72.28767562"
u08,2013-05-01 09:16:48,1.0,"43.70708811,-72.28767562"
u08,2013-05-01 09:16:48,1.0,"43.70708811,-72.28767562"
u08,2013-05-01 09:16:49,1.0,"43.70708811,-72.28767562"
u08,2013-05-01 09:16:47,1.0,"43.70708811,-72.28767562"
u08,2013-05-01 09:16:48,1.0,"43.70708811,-72.28767562"
u08,2013-05-01 09:16:49,1.0,"43.70708811,-72.28767562"
u08,2013-05-01 09:16:47,1.0,"43.70708811,-72.28767562"
u08,2013-05-02 06:11:26,1.0,"43.70086878,-72.28956496"
u08,2013-05-08 18:57:48,2.0,"43.70429145,-72.29019942"
u08,2013-05-09 21:59:10,2.0,"43.70454326,-72.2895076"
u08,2013-05-05 09:19:36,3.0,"43.7037094,-72.28660102"
u08,2013-05-07 03:53:40,2.0,"43.7049437,-72.28880281"
u08,2013-05-19 22:36:25,2.0,"43.70573461,-72.28972765"
u08,2013-05-23 13:39:14,2.0,"43.70447785,-72.29155849"
u08,2013-05-24 07:10:04,2.0,"43.70328045,-72.28642261"
u09,2013-03-27 22:27:13,4.0,"43.70704889,-72.28891638"
u09,2013-03-28 22:00:26,4.0,"43.70741873,-72.28632201"
u09,2013-03-29 22:00:45,1.0,"43.7066596,-72.28847706"
u10,2013-03-30 02:07:48,2.0,"43.70644884,-72.28820168"
u10,2013-04-01 07:19:02,1.0,"43.70241112,-72.28788985"
u10,2013-03-31 22:57:17,1.0,"43.70243257,-72.28772434"
u10,2013-04-02 02:32:04,4.0,"43.70710471,-72.28730696"
u10,2013-04-02 18:56:33,1.0,"43.70679334,-72.28767766"
u10,2013-03-28 00:01:02,2.0,"43.70681191,-72.28712581"
u10,2013-03-30 02:07:51,1.0,"43.70644884,-72.28820168"
u10,2013-03-30 02:07:45,1.0,"43.70647211,-72.28802604"
u10,2013-03-30 02:07:49,4.0,"43.70644884,-72.28820168"
u10,2013-03-30 04:28:19,1.0,"43.70644884,-72.28820168"
u10,2013-03-31 04:07:33,4.0,"43.7026033,-72.28671544"
u10,2013-03-31 03:11:14,4.0,"43.70312458,-72.28787646"
u10,2013-03-30 23:52:25,1.0,"43.70312458,-72.28787646"
u10,2013-03-30 22:01:58,4.0,"43.70312458,-72.28787646"
