uid,breakfast,dinner,location,lunch,resp_time
u57,1.0,2.0,"43.70767843,-72.28476978",1.0,2013-05-08 17:59:18
u57,1.0,1.0,"43.70719834,-72.28918779",3.0,2013-05-14 20:00:56
u57,1.0,3.0,"43.70725121,-72.28852697",1.0,2013-05-09 20:31:37
u57,1.0,3.0,"43.70707912,-72.28881876",2.0,2013-05-07 22:51:38
u57,2.0,1.0,"43.70714542,-72.28859899",8.0,2013-05-05 20:58:00
u57,7.0,2.0,"43.7071945,-72.2892314",7.0,2013-05-12 20:15:49
u58,7.0,7.0,"43.70624805,-72.28345887",7.0,2013-04-23 20:12:49
u58,8.0,8.0,"43.70623256,-72.28307823",8.0,2013-04-23 06:04:26
u58,8.0,8.0,"43.70593948,-72.28355406",7.0,2013-04-24 19:20:20
u58,7.0,8.0,"43.70607789,-72.283427",7.0,2013-04-22 20:40:27
u58,8.0,8.0,"43.70615356,-72.28330165",8.0,2013-04-26 07:04:07
u58,8.0,8.0,"43.70621397,-72.28326242",8.0,2013-04-30 06:34:41
u58,1.0,8.0,"43.70589157,-72.28318917",8.0,2013-05-10 20:54:53
u58,8.0,8.0,"43.70647378,-72.28294033",8.0,2013-05-11 20:32:21
u58,8.0,8.0,"43.70647378,-72.28294033",8.0,2013-05-12 20:34:48
u58,8.0,8.0,"43.70572754,-72.28345198",8.0,2013-05-03 20:26:57
u58,8.0,8.0,"43.70793636,-72.28364427",8.0,2013-05-13 20:10:05
u58,8.0,8.0,"43.71789484,-72.17597166",8.0,2013-05-04 23:10:46
u58,8.0,8.0,"43.70610012,-72.28335277",8.0,2013-05-05 21:43:51
u58,8.0,8.0,"43.70588289,-72.28301539",8.0,2013-05-18 02:49:55
u58,8.0,8.0,"43.70616818,-72.28339938",8.0,2013-05-28 07:44:59
u59,8.0,3.0,Unknown,3.0,2013-04-24 02:28:06
u59,8.0,3.0,"43.706212299875915,-72.28685720823705",2.0,2013-04-22 17:57:57
u59,8.0,5.0,Unknown,3.0,2013-04-28 01:38:30
u59,8.0,3.0,Unknown,3.0,2013-04-24 20:46:37
u59,8.0,3.0,"43.70682598091662,-72.28816260583699",3.0,2013-04-25 18:10:35
u59,8.0,3.0,"43.70562979951501,-72.28742231614888",3.0,2013-04-26 19:07:37
u59,8.0,3.0,"43.70434443466365,-72.28893441148102",5.0,2013-04-29 15:58:47
u59,5.0,5.0,"43.70579710230231,-72.29083056561649",5.0,2013-04-30 19:04:29
u59,8.0,3.0,"43.705429220572114,-72.29127271100879",1.0,2013-05-07 16:58:34
u59,8.0,3.0,"43.705528462305665,-72.29130095802248",3.0,2013-05-03 20:04:09
u59,7.0,7.0,Unknown,7.0,2013-05-15 06:04:54
u59,8.0,5.0,"43.709054100327194,-72.28421556763351",5.0,2013-05-09 20:02:56
u59,8.0,2.0,"43.704725224524736,-72.28949784301221",2.0,2013-05-20 00:25:19
u59,8.0,3.0,"43.70531283784658,-72.28896860964596",1.0,2013-05-18 00:06:03
u59,8.0,1.0,"43.705720701254904,-72.29104246012866",1.0,2013-05-22 18:59:04
u59,8.0,1.0,Unknown,3.0,2013-05-26 05:34:56
u59,8.0,1.0,Unknown,3.0,2013-05-26 05:35:01
u59,8.0,7.0,"43.705530599690974,-72.29089292697608",8.0,2013-05-30 16:15:25
u59,8.0,3.0,"43.70550733990967,-72.2909749019891",2.0,2013-05-27 19:11:30
u59,8.0,1.0,Unknown,1.0,2013-05-29 20:09:19
u59,8.0,3.0,Unknown,8.0,2013-05-31 09:57:59
u59,7.0,7.0,"29.902838333509862,-90.02745215781033",7.0,2013-06-03 01:00:30
u59,7.0,7.0,"29.902872280217707,-90.02744721248746",7.0,2013-06-04 23:18:49
u59,7.0,7.0,"29.902795627713203,-90.02727152779698",7.0,2013-06-06 00:06:24
