uid,location,negative,nevent,pevent,positive,resp_time
u42,"43.7016352,-72.28942685",2.0,quarrel with friend,do hw,6.0,2013-04-24 00:40:40
u42,"43.70099178,-72.28157768",3.0,bbs,study,6.0,2013-04-23 00:18:24
u42,"43.66990215,-72.26195511",1.0,none,playing,6.0,2013-05-13 19:40:41
u42,"43.66990215,-72.26195511",1.0,none,playing,6.0,2013-05-13 19:40:28
u43,"43.70547508,-72.29140592",5.0,going home to Maine,plans for weekend,4.0,2013-04-19 17:21:55
u43,"44.23697212,-69.80804789",2.0,skyping with gf,skyping with gf,6.0,2013-04-22 02:18:34
u43,Unknown,6.0,being home,being home,6.0,2013-04-22 02:18:39
u43,Unknown,4.0,getting home,going home,6.0,2013-04-22 02:18:36
u43,"43.70556144,-72.29141676",6.0,seeing gf,seeing gf,6.0,2013-04-23 00:55:56
u43,"43.70555076,-72.29153845",6.0,classes canceled,classes canceled,4.0,2013-04-25 00:12:27
u43,"43.70540816,-72.29195287",6.0,no mini golf,no classes,5.0,2013-04-26 06:16:00
u43,"43.70551012,-72.29147375",5.0,lab assignment not working properly,talking with gf,5.0,2013-04-27 04:14:13
u44,"43.69212123,-72.2668641",3.0,,jogging,5.0,2013-04-18 23:24:28
u44,"43.69218854,-72.26704182",1.0,,Friday beer,5.0,2013-04-20 16:35:07
u44,"43.69935873,-72.28135033",3.0,,,5.0,2013-04-25 00:29:09
u44,"43.69208001,-72.26663316",6.0,she is late for 3 hours,Rihanna concert,6.0,2013-05-07 18:25:54
u45,"43.70710882,-72.28687999",5.0,homework,dinner,3.0,2013-04-23 00:38:37
u46,"43.70418499,-72.29773208",2.0,,,4.0,2013-04-18 19:31:46
u46,"44.45507574,-73.18376895",6.0,,,4.0,2013-04-27 04:02:21
u47,"43.6815803591162,-72.32197495177388",5.0,interview,soccer,4.0,2013-04-23 00:05:55
u47,"43.70660935062915,-72.28707488626242",4.0,offer,eat,4.0,2013-04-25 00:02:03
u47,"43.705234131775796,-72.28328417055309",1.0,,,1.0,2013-04-28 04:51:22
u47,Unknown,1.0,,lab,1.0,2013-05-04 06:00:19
u47,"43.681484470143914,-72.32213035225868",1.0,,,1.0,2013-05-19 20:00:14
u47,"43.68141381070018,-72.32206556014717",1.0,,,1.0,2013-05-20 20:00:11
u47,"43.7070740852505,-72.28581625968218",1.0,,,1.0,2013-05-23 23:50:24
u47,"43.68152252398431,-72.32199875637889",1.0,,,1.0,2013-05-23 19:00:39
u47,"43.70697995647788,-72.28684052824974",1.0,,,1.0,2013-05-26 23:28:26
u47,"43.681430825963616,-72.32192139141262",3.0,dirty,review,7.0,2013-05-28 23:01:11
u49,"43.685875168605065,-72.293903043441",1.0,nothing,green key celebration,7.0,2013-05-19 20:21:47
u49,"43.70712627369843,-72.2907069638324",3.0,homework issues,acceptance into a program,5.0,2013-05-18 06:36:24
u49,"43.70717394799803,-72.29085167812515",6.0,fought with gf,completed hw,3.0,2013-05-23 19:01:32
u50,Unknown,1.0,,,4.0,2013-06-03 20:34:17
u51,"43.70640485,-72.28685946",4.0,na,na,4.0,2013-04-23 02:00:28
u51,"43.70662402,-72.28686449",1.0,,,1.0,2013-04-26 08:04:11
u51,"43.70706825,-72.28707155",1.0,,,1.0,2013-04-29 04:39:23
u51,"43.70353508,-72.28958431",1.0,,,1.0,2013-04-27 04:05:05
u51,"43.70676322,-72.28683728",1.0,,,1.0,2013-05-01 07:16:31
u51,"43.64675373,-72.30988564",1.0,,,1.0,2013-05-04 06:55:57
u51,"44.8133656,-71.88147691",1.0,,,1.0,2013-05-26 23:12:36
u52,"43.70713043333333,-72.28888498333333",6.0,living,living,3.0,2013-04-19 17:50:43
u52,"43.70777698333333,-72.28647206666666",3.0,,,7.0,2013-04-26 07:47:32
u53,"43.70258733,-72.28374163",5.0,late to class,100% on project,4.0,2013-04-19 06:42:36
u53,"43.01169582,-71.43631145",5.0,debugging myruns,finding an apartment for the summer,4.0,2013-04-21 23:08:49
